id	nest	treat	mass6	tars6	mass14	tars14	wing14	laydate	year
1ER17218	277	L	6.4	11.4	11.2	17.9	42	17	2009
1ER17219	277	L	5.3	9.3	10.3	17.4	37	17	2009
1ER17220	277	L	6.1	11.1	10.9	18.2	41.5	17	2009
1ER17970	277	L	3.2	7.7	6.7	15.1	26.5	17	2009
1ER17682	207	M	4.6	9.6	12.5	19.3	43	19	2009
1ER17683	207	M	6.2	11.3	11.5	18.4	43	19	2009
1ER17684	207	M	5.7	10.4	12.4	19	42.5	19	2009
1ER17685	207	M	6.2	11.9	11.6	18.4	43.5	19	2009
1ER17686	207	M	5.7	10.7	12	19	44	19	2009
1ER17687	207	M	6.7	11.8	12.5	18.8	45	19	2009
1ER17688	207	M	4.2	9	10.8	18.1	37	19	2009
1ER17689	207	M	7.2	12.3	12.5	19.3	45.5	19	2009
1ER17690	207	M	6.7	12.2	11.7	19	45	19	2009
1ER17206	7009	H	7.3	11.5	12.4	18.2	45	18	2009
1ER17207	7009	H	7.7	12	12.6	18.8	45.5	18	2009
1ER17208	7009	H	5.9	11.3	11.9	18.5	43	18	2009
1ER17209	7009	H	5.3	9.4	11.9	17.8	41	18	2009
1ER17210	7009	H	7.8	11.8	12.2	18.2	44	18	2009
1ER17211	7009	H	6.3	8.8	12.6	18.3	42	18	2009
1ER17212	7009	H	6.9	10.9	11.4	17.3	42.5	18	2009
1ER17663	H8	L	5	10.3	NA	NA	NA	17	2009
1ER17664	H8	L	5.6	10.6	10.6	18.6	44	17	2009
1ER17665	H8	L	6.6	12.2	11.9	19.4	45	17	2009
1ER17666	H8	L	5	9.8	11.5	18.7	42	17	2009
1ER17667	H8	L	6.2	11.4	11.2	19.1	43	17	2009
1ER17668	H8	L	6.4	12.2	11.1	19.2	45	17	2009
1ER17669	H8	L	5.4	10.5	11.1	18.4	41.5	17	2009
1ER17968	H8	L	3.8	7.9	10.4	16.5	38	17	2009
1ER17221	730	H	5.3	10.1	11.4	18.1	40	16	2009
1ER17222	730	H	5.7	10.5	12.4	18.3	42.5	16	2009
1ER17223	730	H	5.5	10.5	10.7	17.9	41	16	2009
1ER17227	693	L	7.7	12.2	13.4	19.2	47.5	20	2009
1ER17228	693	L	6.3	11.2	11.8	18.3	42.5	20	2009
1ER17229	693	L	5.6	9.8	12.3	17.7	42	20	2009
1ER17230	693	L	4.7	9.1	12.3	18.8	40	20	2009
1ER17231	693	L	5.8	10.9	10.8	18.7	42	20	2009
1ER17232	693	L	6.8	11.7	11.8	18.6	45.5	20	2009
1ER17233	693	L	7.1	12	11.9	18.5	46	20	2009
1ER17234	693	L	4.8	9.2	11.7	17.5	40.5	20	2009
1ER17235	606	L	5.7	10.6	11.2	18.1	43	19	2009
1ER17236	606	L	6.1	11.3	10.6	17.9	45	19	2009
1ER17237	606	L	4.2	8.9	11.5	18.5	39.5	19	2009
1ER17238	606	L	5.6	10.7	11.9	18.6	44	19	2009
1ER17239	606	L	5.6	11.1	11.5	18.7	45	19	2009
1ER17240	606	L	4.7	10	11.2	18.7	42	19	2009
1ER17241	606	L	6.4	11.4	12	18.5	44.5	19	2009
1ER17242	606	L	6.1	11.2	11.4	18.4	45	19	2009
1ER17243	606	L	6	11.3	11.6	18.1	44.5	19	2009
1ER17244	606	L	5.6	10.6	10.3	18.2	43	19	2009
1ER17245	606	L	5.4	10.7	11.1	18.3	43.5	19	2009
1ER17246	533	L	4.3	9.1	10.7	17.1	38	18	2009
1ER17247	533	L	5.9	11	12	17.7	42	18	2009
1ER17248	533	L	5.4	10.8	11.9	17.6	41.5	18	2009
1ER17249	533	L	6.4	11.7	12.6	17.8	43	18	2009
1ER17250	533	L	6.7	12.1	12.4	18	45	18	2009
1ER17251	533	L	5.7	11.2	11.8	18	43	18	2009
1ER17252	533	L	6.6	11.8	12.6	18.1	44	18	2009
1ER17253	533	L	7.4	12.5	12.9	18.5	46	18	2009
1ER17254	533	L	6.2	11.7	12.1	18.5	43.5	18	2009
1ER17255	533	L	6.7	12.3	13.1	18.9	45	18	2009
NA	533	L	1.9	NA	NA	NA	NA	18	2009
1ER17256	7004	M	7.2	12.1	11.6	17.8	42	19	2009
1ER17257	7004	M	6.9	12.3	11.8	17.9	40.5	19	2009
1ER17258	7004	M	6.8	12.3	12	18.6	42	19	2009
1ER17259	7004	M	5.4	10.8	10.8	18.1	38	19	2009
1ER17260	7004	M	6.1	11.7	10.8	17.9	38.5	19	2009
1ER17261	7004	M	7.4	12.7	12.2	18.8	43	19	2009
1ER17262	7004	M	6.7	12.1	12.2	18.4	43	19	2009
1ER17275	863	H	7.3	12.8	12.7	19.6	46.5	22	2009
1ER17276	863	H	6.3	12	12.7	19.3	45.5	22	2009
1ER17277	863	H	7.1	12.2	11.3	18.5	42.5	22	2009
1ER17278	863	H	7.3	12.8	12.2	19	47	22	2009
1ER17279	863	H	6.9	12.1	13.3	20	43	22	2009
1ER17280	863	H	7.4	12.5	12.2	19.7	46	22	2009
1ER17281	863	H	5.6	10	12.5	18.8	40	22	2009
1ER17282	863	H	5.1	9.8	11.4	18.5	40	22	2009
1ER17283	863	H	7.1	12.3	12.1	18.7	44	22	2009
1ER17264	78	M	4.6	10.3	NA	NA	NA	21	2009
1ER17265	78	M	5.3	11.1	NA	NA	NA	21	2009
1ER17266	78	M	5.2	10.7	NA	NA	NA	21	2009
1ER17267	78	M	6.6	11.7	NA	NA	NA	21	2009
1ER17268	78	M	5.6	11.6	NA	NA	NA	21	2009
1ER17269	78	M	6.2	11.6	NA	NA	NA	21	2009
1ER17270	78	M	6.3	11.7	NA	NA	NA	21	2009
1ER17271	78	M	5.8	11.9	NA	NA	NA	21	2009
1ER17272	78	M	5.8	11.4	NA	NA	NA	21	2009
NA	78	M	3.2	8.5	NA	NA	NA	21	2009
1ER17431	771	L	7	12.5	12.9	18.7	45	24	2009
1ER17432	771	L	6.3	11.4	12.6	18.3	44	24	2009
1ER17433	771	L	6.3	11.7	11.7	18	42	24	2009
1ER17434	771	L	5.7	10.7	9.2	16.4	36.5	24	2009
1ER17435	771	L	6.9	12.9	12.1	18.6	46	24	2009
1ER17436	771	L	7.4	12.7	13.2	18.7	45.5	24	2009
1ER17437	771	L	4.6	9.7	13.3	18.4	45	24	2009
1ER79505	771	L	2.4	NA	10.3	16.7	29	24	2009
1ER17407	274	H	5.6	10.2	NA	NA	NA	23	2009
1ER17408	274	H	5.2	9.9	NA	NA	NA	23	2009
1ER17409	274	H	6.2	10.9	NA	NA	NA	23	2009
1ER17410	274	H	5.3	10	NA	NA	NA	23	2009
1ER17411	274	H	5.6	10.1	NA	NA	NA	23	2009
1ER17412	274	H	5.8	10.3	NA	NA	NA	23	2009
1ER17413	274	H	6.3	10.8	NA	NA	NA	23	2009
1ER17414	274	H	4.7	9.3	NA	NA	NA	23	2009
NA	274	H	3.5	7.9	NA	NA	NA	23	2009
1ER17296	203	M	5.8	11.1	12.4	18.4	40	23	2009
1ER17297	203	M	4.1	8.7	11.2	16.5	35	23	2009
1ER17298	203	M	6.1	11.2	11.8	18.2	43	23	2009
1ER17299	203	M	5.6	10.4	11.7	17	41	23	2009
1ER17400	203	M	5.3	10	12.2	17.6	42	23	2009
1ER17401	203	M	6.7	11.2	13.2	18	44	23	2009
1ER17402	203	M	6.7	11.1	13.6	17.9	44	23	2009
1ER17403	203	M	6.3	11.5	12.7	18.1	43	23	2009
1ER17404	203	M	6.7	11.5	12.7	17.8	43	23	2009
1ER79506	203	M	2.3	NA	10.3	16.3	25	23	2009
1ER17417	97	M	6.2	11.2	12.5	18.4	42	24	2009
1ER17418	97	M	6.6	11.4	13.5	19.2	44	24	2009
1ER17419	97	M	6.5	11.5	12.7	18.5	43	24	2009
1ER17420	97	M	4.8	9.1	12	18.3	39.5	24	2009
1ER17421	97	M	7	11.6	13.9	18.9	44	24	2009
1ER17422	97	M	5.3	10	13.1	18.8	40.5	24	2009
1ER17423	97	M	6.4	10.8	13.3	19.1	42	24	2009
1ER17424	97	M	4	8.3	12.6	17.7	36.5	24	2009
1ER79504	97	M	1.9	NA	11.2	16.3	27.5	24	2009
1ER17425	61	H	7.2	12.9	12.7	19.8	44	25	2009
1ER17426	61	H	5.6	11.7	12.7	20.1	43.5	25	2009
1ER17427	61	H	6.3	11.5	11.8	18.9	42	25	2009
1ER17428	61	H	7.1	12.3	12.1	19.5	44.5	25	2009
1ER17429	61	H	4.3	8.7	12.3	19.3	38	25	2009
1ER17430	61	H	6.9	12	13.7	20	44	25	2009
1ER17287	26	M	5.7	11.3	12.3	18.6	44.5	22	2009
1ER17288	26	M	5.2	10.3	12	18.5	39.5	22	2009
1ER17289	26	M	6.2	10.9	12.3	18.6	42	22	2009
1ER17290	26	M	6.3	11.3	13.3	19	44	22	2009
1ER17291	26	M	4.9	9.5	11.2	17.8	39	22	2009
1ER17292	26	M	5.3	10.5	12	18.3	42	22	2009
1ER17293	26	M	3.8	8.1	12.1	17.5	36	22	2009
1ER17294	26	M	5.2	10.3	12.2	18.6	39	22	2009
1ER17295	26	M	5.1	10.3	11.9	18.2	39.5	22	2009
1ER17462	729	H	6.2	12.4	10.8	19.1	43	24	2009
1ER17463	729	H	6.2	12.8	11.2	19.6	44.5	24	2009
1ER17464	729	H	5	10.5	11.1	19	40	24	2009
1ER17465	729	H	5.6	11.3	11.3	19.4	44	24	2009
1ER17466	729	H	6.2	12.3	11.5	19.3	45	24	2009
1ER17467	729	H	6	12	11	19.1	42.5	24	2009
1ER17468	729	H	6.5	13.1	10.3	19.4	45	24	2009
1ER17469	729	H	6.5	12.8	10.7	19	44	24	2009
1ER17452	629	H	5.8	10.6	12	18.5	40.5	23	2009
1ER17453	629	H	5.7	11.6	11.7	19	40	23	2009
1ER17454	629	H	5.2	10.3	11.9	18.7	39	23	2009
1ER17455	629	H	3.8	8.8	9.8	17.7	33.5	23	2009
1ER17456	629	H	5.1	10	11.2	18.4	37	23	2009
1ER17457	629	H	5.8	10.9	12	19.3	39	23	2009
1ER17458	629	H	4.8	9.9	11.1	18.3	39	23	2009
1ER17459	629	H	5.8	11.2	11.9	19.4	39	23	2009
1ER17460	629	H	5.1	10.5	11.7	18.8	38	23	2009
1ER17461	629	H	3.7	8.5	10.2	17.4	31.5	23	2009
NA	629	H	1.4	NA	NA	NA	NA	23	2009
1ER17443	62	M	5.3	10.6	NA	NA	NA	24	2009
1ER17444	62	M	5.1	10.6	NA	NA	NA	24	2009
1ER17445	62	M	5	10.4	NA	NA	NA	24	2009
1ER17446	62	M	5.7	11.3	NA	NA	NA	24	2009
1ER17447	62	M	5.7	11.3	NA	NA	NA	24	2009
1ER17448	62	M	5.4	11.2	NA	NA	NA	24	2009
1ER17449	62	M	5.9	10.9	NA	NA	NA	24	2009
1ER17450	62	M	5.8	11.7	NA	NA	NA	24	2009
1ER17451	62	M	3.2	8.2	NA	NA	NA	24	2009
1ER17470	7013	M	5.2	10.1	11.2	17.7	39	24	2009
1ER17471	7013	M	6.8	11.5	12.1	18.6	44.5	24	2009
1ER17472	7013	M	6.2	10.8	11.7	18.1	44	24	2009
1ER17473	7013	M	5.6	10.4	11.8	18.4	43	24	2009
1ER17474	7013	M	6.1	11.1	12.7	18.2	44	24	2009
1ER17475	7013	M	6.3	11.5	12.5	18.6	45	24	2009
1ER17476	7013	M	5.8	11.2	11.3	18	43	24	2009
1ER17478	7013	M	4.7	9.6	12.2	18.3	44	24	2009
1ER17479	7013	M	6.3	11	11.7	18	41.5	24	2009
1ER79507	7013	M	3.3	8	10.8	17.4	36	24	2009
1ER17481	257	M	6.2	10.9	13.6	18.8	44.5	23	2009
1ER17482	257	M	6.6	11.8	12.3	18.9	45	23	2009
1ER17483	257	M	5.7	10.8	12.2	18.2	42.5	23	2009
1ER17484	257	M	4.6	9.6	12.2	18.2	39	23	2009
1ER17485	257	M	5.6	10.5	12.6	18.8	41.5	23	2009
1ER17486	257	M	5.8	11.2	12	18.2	43	23	2009
1ER17487	257	M	4.4	9.2	11.2	17.2	38	23	2009
1ER17488	257	M	6	10.8	12.7	18.9	42.5	23	2009
1ER17489	257	M	4.8	9.9	11.7	18.9	39.5	23	2009
1ER17490	257	M	4	8.5	10.6	17.7	37.5	23	2009
1ER17491	257	M	5.3	10.5	12	18.7	42	23	2009
1ER79528	257	M	2.8	NA	11.2	18.4	34.5	23	2009
1ER17492	508	L	5.9	10.8	10.9	17.5	43	21	2009
1ER17493	508	L	6.6	11.8	12.2	18.3	44.5	21	2009
1ER17494	508	L	5	10.3	11.3	17.7	40	21	2009
1ER17495	508	L	3.8	8.8	10.6	17.4	37.5	21	2009
1ER17496	508	L	7	12	12.3	18.3	44	21	2009
1ER17497	508	L	6.6	12.1	11.8	18.6	45	21	2009
1ER17498	508	L	6.7	12.5	11.7	18.9	45	21	2009
1ER17499	508	L	7	12.2	11.9	18.9	44	21	2009
1ER17900	508	L	6.6	12.6	12	18.7	45	21	2009
1ER17901	508	L	6.4	11.4	11.7	18.4	45	21	2009
1ER17902	508	L	5.5	10.6	10.7	17.1	41	21	2009
1ER17925	299	H	4.8	9.6	NA	NA	NA	25	2009
1ER17926	299	H	6.2	11.3	NA	NA	NA	25	2009
1ER17927	299	H	6.8	12.2	NA	NA	NA	25	2009
1ER17928	299	H	6	11.6	NA	NA	NA	25	2009
1ER17929	299	H	6.6	11.1	NA	NA	NA	25	2009
1ER17930	299	H	5.4	10.4	NA	NA	NA	25	2009
1ER17931	299	H	7.1	12.2	NA	NA	NA	25	2009
1ER17932	299	H	6.5	11.9	NA	NA	NA	25	2009
1ER17933	299	H	6.6	10.9	NA	NA	NA	25	2009
1ER17934	299	H	6.3	11.9	NA	NA	NA	25	2009
1ER17905	756	L	4.6	9.6	11.7	18.3	38	21	2009
1ER17906	756	L	7.1	11.8	12.3	19.1	43.5	21	2009
1ER17907	756	L	5.1	10.6	12	18	41	21	2009
1ER17908	756	L	5.2	10.5	10.6	18.3	41	21	2009
1ER17909	756	L	6.5	11.6	12.2	18.2	44	21	2009
1ER17910	756	L	6.5	11.9	11.4	18.6	42	21	2009
1ER17911	756	L	4.8	10	11.8	18.2	40.5	21	2009
1ER17912	756	L	5.4	10.6	10.7	17.9	43.5	21	2009
1ER79539	756	L	2.6	NA	11.5	18	34.5	21	2009
1ER17913	569	H	6.6	12.1	NA	NA	NA	24	2009
1ER17914	569	H	5.8	11.2	NA	NA	NA	24	2009
1ER17915	569	H	6	12	NA	NA	NA	24	2009
1ER17916	569	H	4.6	9.6	NA	NA	NA	24	2009
1ER17917	569	H	5.6	10.9	NA	NA	NA	24	2009
1ER17918	569	H	6.6	12.4	NA	NA	NA	24	2009
1ER17920	569	H	7.1	12.5	NA	NA	NA	24	2009
1ER17921	569	H	6.3	11.5	NA	NA	NA	24	2009
1ER17922	569	H	6.3	12.1	NA	NA	NA	24	2009
1ER17923	569	H	6.4	12.4	NA	NA	NA	24	2009
NA	569	H	2.9	NA	NA	NA	NA	24	2009
NA	569	H	3.1	NA	NA	NA	NA	24	2009
1ER17958	58	L	5.8	11.5	NA	NA	NA	26	2009
1ER17959	58	L	5.3	10.8	NA	NA	NA	26	2009
1ER17961	58	L	5.6	11.2	NA	NA	NA	26	2009
1ER17962	58	L	6.4	11.4	NA	NA	NA	26	2009
1ER17963	58	L	5.6	10.5	NA	NA	NA	26	2009
1ER17964	58	L	5.1	9.4	NA	NA	NA	26	2009
1ER17965	58	L	6.8	11.8	NA	NA	NA	26	2009
1ER17966	58	L	5.6	10.9	NA	NA	NA	26	2009
1ER17967	58	L	4.1	8.8	NA	NA	NA	26	2009
1ER79540	58	L	2.9	NA	NA	NA	NA	26	2009
1ER17945	811	M	6.6	12.4	11.5	18.8	45	26	2009
1ER17946	811	M	4.6	9.9	11.3	18.5	40	26	2009
1ER17947	811	M	5.5	11.2	11.9	18.9	46	26	2009
1ER17948	811	M	7	13	11.8	18.4	45	26	2009
1ER17949	811	M	7	12.7	12.2	18.5	44.5	26	2009
1ER17950	811	M	6.3	11.6	13.4	18.9	45	26	2009
1ER17951	811	M	6.4	11.4	12.5	19	44.5	26	2009
1ER17952	811	M	5.3	10.8	11.1	18.5	42.5	26	2009
1ER17953	811	M	7.1	12.9	12.6	19.3	46	26	2009
1ER17954	811	M	7.1	12.6	11.8	19.1	44	26	2009
1ER17955	811	M	6.3	11.8	11.9	18.2	44	26	2009
1ER17938	860	L	5.4	9.9	12.3	16.8	43	26	2009
1ER17939	860	L	6.3	11.3	11.5	17.5	44	26	2009
1ER17940	860	L	5.5	10.2	11.9	17.9	43	26	2009
1ER17941	860	L	6.4	11.6	12.1	18.1	45	26	2009
1ER17942	860	L	6.8	10.7	12.8	18.3	45	26	2009
1ER17971	367	L	6.1	11.4	11.4	18.2	44	23	2009
1ER17972	367	L	6.1	11	12.1	18.8	44	23	2009
1ER17973	367	L	6.1	11.8	12	18.3	44.5	23	2009
1ER17974	367	L	5.1	9.9	10.8	18.2	41	23	2009
1ER17975	367	L	6.2	11.1	12.5	18.7	45	23	2009
1ER17976	367	L	6.5	12	12.2	18.7	45	23	2009
1ER17977	367	L	6.7	12.1	11.6	18.4	44	23	2009
1ER17978	367	L	6.4	12	12.6	19.1	45.5	23	2009
1ER17979	367	L	6.8	12	11.2	18.1	45	23	2009
1ER17980	367	L	5.6	11	10.9	17.8	38.5	23	2009
1ER17981	367	L	3.9	9.1	10.9	17.8	38.5	23	2009
CJ32961	298	L	5.7	11.4	11.3	18.2	43	26	2009
CJ32962	298	L	4.8	9.8	12.2	18.3	42	26	2009
CJ32963	298	L	6	11.5	11.6	18.8	42.5	26	2009
CJ32964	298	L	6.6	11.7	10.8	17.9	41	26	2009
CJ32966	298	L	6	11.5	10.4	17.6	44.5	26	2009
CJ32967	298	L	6.1	12.5	11.3	18.9	42.5	26	2009
CJ32968	298	L	6.2	11.8	10.8	17.7	43.5	26	2009
CJ32969	298	L	6.6	12	12	18.2	45	26	2009
CJ32954	269	M	6.9	11.3	NA	NA	NA	27	2009
CJ32955	269	M	6.3	11.3	NA	NA	NA	27	2009
CJ32956	269	M	6.4	11.6	NA	NA	NA	27	2009
CJ32957	269	M	6.5	11.9	NA	NA	NA	27	2009
CJ32958	269	M	7.1	11.7	NA	NA	NA	27	2009
CJ32959	269	M	6.5	11.2	NA	NA	NA	27	2009
CJ32960	269	M	6.5	11.4	NA	NA	NA	27	2009
1ER17984	31	M	6.9	12	11.1	17.6	44.5	28	2009
1ER17985	31	M	6.8	12.2	11.3	18.2	42	28	2009
1ER17986	31	M	7.9	13.2	10.9	18.3	44.5	28	2009
1ER17987	31	M	7.2	13.2	11.2	18.3	45	28	2009
1ER17988	31	M	6.8	12.6	10.1	18.3	42.5	28	2009
1ER17989	31	M	6.5	11.9	11	17.5	42	28	2009
1ER17990	31	M	5	10.1	8.3	17	35	28	2009
1ER17991	31	M	7.7	13.3	10.6	18.5	44	28	2009
1ER17992	31	M	6.1	12	9.9	17.8	42	28	2009
1ER17993	31	M	6.4	12.4	10.1	17.8	43	28	2009
1ER79525	375	L	5.8	10.7	NA	NA	NA	29	2009
1ER17526	375	L	5.8	10.5	NA	NA	NA	29	2009
CJ32970	375	L	4	9.1	NA	NA	NA	29	2009
CJ32971	375	L	4.8	9.5	NA	NA	NA	29	2009
1EP51709	17	H	5.8	11.7	11.1	18.3	41.5	20	2008
1EP51710	17	H	6.4	12.1	11.3	18.7	42	20	2008
1EP51711	17	H	5.6	10.6	11.4	17.7	38	20	2008
1EP51712	17	H	5.4	9.9	11.7	18.3	40	20	2008
1EP51714	17	H	4.9	10.4	10.3	17.9	37.5	20	2008
1EP51715	17	H	6.2	11.7	11.2	18.2	41.5	20	2008
1EP51716	17	H	6.2	11.6	11.4	18.2	41	20	2008
1EP52183	17	H	4.1	9.8	9.8	17.6	35	20	2008
1EP51717	17	H	6.5	11.8	11.6	18	40	20	2008
1EP51751	67	H	6.4	11.6	11.8	18.6	43	19	2008
1EP51752	67	H	5.9	11	11.4	18.7	43.5	19	2008
1EP51753	67	H	5.8	10.8	10.9	18.6	41.5	19	2008
1EP51754	67	H	5.7	11	11.2	18.8	42	19	2008
1EP51755	67	H	6	11.7	10.4	18.1	43.5	19	2008
1EP51756	67	H	5.8	11.7	10.6	18.1	41	19	2008
1EP51757	67	H	6.6	12.3	11.3	18.3	44.5	19	2008
1EP51758	67	H	6.2	12.1	11.7	19.4	45	19	2008
1EP51759	67	H	5.4	11	10.5	19	41	19	2008
1EP51760	67	H	6.1	11.6	11.2	18.7	42.5	19	2008
1EP51761	189	H	6.8	12.3	12.1	18.7	44.5	22	2008
1EP51762	189	H	4.1	8.6	10.6	18	36	22	2008
1EP51763	189	H	6.3	11.4	12.2	18.8	41	22	2008
1EP51764	189	H	6.8	12.1	11.9	19.2	45	22	2008
1EP51765	189	H	6.1	12.2	11.4	18.8	44	22	2008
1EP51766	189	H	6.6	12.1	11.8	18.6	43	22	2008
1EP51767	189	H	4.8	9.4	12.2	18.7	39	22	2008
1EP51768	189	H	5.8	10.6	11.6	18.7	42.5	22	2008
1EP51769	823	H	5.9	11.4	11.9	18.9	42	23	2008
1EP51770	823	H	6.5	11.8	11.1	18.2	44	23	2008
1EP51771	823	H	4.7	9.6	11.6	18.1	40	23	2008
1EP51772	823	H	6.3	12.2	11.7	18.5	44	23	2008
1EP51773	823	H	6.3	12.3	11.3	18.4	43	23	2008
1EP51774	823	H	5.8	11.8	12.1	19.4	43	23	2008
1EP51775	823	H	6.8	12	11.7	18.4	45	23	2008
1EP51776	823	H	6.9	12.1	12.3	18.8	46	23	2008
1EP51777	823	H	6.8	11.3	11.9	18.8	43.5	23	2008
1EP51778	613	H	6.3	11.2	12.2	18.8	43	23	2008
1EP51779	613	H	6.8	11.8	11.5	17.8	42.5	23	2008
1EP51780	613	H	7.7	13.3	12.1	19	46	23	2008
1EP51781	613	H	6.6	12.1	11.3	18.5	44.5	23	2008
1EP51782	613	H	6.7	11.7	12	18.1	44	23	2008
1EP51783	613	H	6.7	12.1	11.3	18.3	45	23	2008
1EP51784	613	H	7.7	13.3	11.6	19.1	47	23	2008
1EP51785	613	H	4.8	9.5	11.3	18.2	40.5	23	2008
1EP51786	613	H	7.6	12.6	11.8	18.4	45.5	23	2008
1EP51787	613	H	5.9	10.6	12.8	18.9	43	23	2008
1EP51788	687	H	6.9	12	11.2	18.5	44	23	2008
1EP51789	687	H	7.2	12.4	12.1	18.6	45.5	23	2008
1EP51790	687	H	6.7	12.7	11.2	18.3	44	23	2008
1EP51791	687	H	6.7	12.4	11.2	18.1	45	23	2008
1EP51792	687	H	5.6	11.7	12.1	18.9	42.5	23	2008
1EP51793	687	H	6.1	11.6	12.2	18.3	43	23	2008
1EP51794	687	H	6.6	12.3	11.8	17.9	44	23	2008
1EP51795	687	H	5.6	10.2	11.3	18.4	41	23	2008
1EP51798	204	H	9.1	13.7	11.7	19.1	46	22	2008
1EP51799	204	H	9.6	14.4	13.1	19.4	47	22	2008
1EP52300	204	H	9.6	10.2	12.6	19.3	40.5	22	2008
1EP52301	204	H	9.6	14.5	11.6	19.2	47.5	22	2008
1EP52302	204	H	8.9	13.5	12.1	18.9	48	22	2008
1EP52303	204	H	6.6	10.5	11.3	18	39	22	2008
1EP52304	204	H	8.4	12.8	11.5	18.6	46	22	2008
1EP52336	207	H	7	11.2	12.2	18.4	44	23	2008
1EP52337	207	H	5.5	11.8	11.2	18.9	44.5	23	2008
1EP52338	207	H	6.1	11.4	11.6	18.3	44	23	2008
1EP52339	207	H	6.7	11.4	12	18.7	44.5	23	2008
1EP52340	207	H	4.2	8.5	11.6	18	39.5	23	2008
1EP52341	207	H	5	10	12.8	19.4	41.5	23	2008
1EP52342	207	H	5.8	10.4	10.4	17.7	42.5	23	2008
1EP52343	207	H	6	10.6	11.1	17.5	42	23	2008
1EP52344	207	H	5.4	9.7	11.5	17.9	42.5	23	2008
1EP52373	566	H	6.2	11.5	NA	NA	NA	25	2008
1EP52374	566	H	6.6	11.6	NA	NA	NA	25	2008
1EP52375	566	H	5.8	10.6	NA	NA	NA	25	2008
1EP52376	566	H	6.2	10.4	NA	NA	NA	25	2008
1EP52378	566	H	6.1	11.1	NA	NA	NA	25	2008
1EP52379	566	H	6.3	10.8	NA	NA	NA	25	2008
1EP52380	566	H	7.1	11.8	NA	NA	NA	25	2008
1EP52385	632	H	5.1	9	NA	NA	NA	26	2008
1EP52386	632	H	4.9	9.8	NA	NA	NA	26	2008
1EP52387	632	H	6.1	10.9	NA	NA	NA	26	2008
1EP52388	632	H	4.7	9.6	NA	NA	NA	26	2008
1EP52389	632	H	6	11	NA	NA	NA	26	2008
1EP52391	632	H	5.4	9.8	NA	NA	NA	26	2008
1EP52392	632	H	6	10.5	NA	NA	NA	26	2008
1EP52403	808	H	6.3	11.3	11.7	18.3	43.5	24	2008
1EP52404	808	H	7.1	12.2	11.6	18.8	44.5	24	2008
1EP52405	808	H	6.7	11.5	11.8	17.9	45	24	2008
1EP52406	808	H	5.4	10.2	11.3	18	43	24	2008
1EP52407	808	H	6.9	11.2	12.5	18.7	45	24	2008
1EP52408	808	H	4.5	8.6	11.7	17.4	39.5	24	2008
1EP52409	699	H	6.2	10.8	12.1	18.3	44	26	2008
1EP52410	699	H	6.3	11.3	12.2	18.6	43.5	26	2008
1EP52411	699	H	4.6	8.2	12.1	17.3	39	26	2008
1EP52412	699	H	7.1	11.1	12.4	18.3	45	26	2008
1EP52413	699	H	5.3	9.8	12.2	18.4	42.5	26	2008
1EP52414	699	H	4.6	8.3	11.8	18	39	26	2008
1EP52415	699	H	6.4	11.4	11.6	18.1	45	26	2008
1EP52416	699	H	6.6	11.2	11.4	18.1	45	26	2008
1EP52417	699	H	6.1	10.1	11.1	17.9	43	26	2008
1EP52418	869	H	7.1	11.5	11.6	19.2	43.5	25	2008
1EP52419	869	H	5.8	9	11.5	18.4	40	25	2008
1EP52420	869	H	7.5	11.1	11.9	18.5	44	25	2008
1EP52421	869	H	7.1	11.4	10.4	18.6	42	25	2008
1EP52437	185	H	6	9.9	12.1	17.8	44	25	2008
1EP52438	185	H	7.3	12.5	11.8	19	46	25	2008
1EP52439	185	H	7.5	12.4	12.1	18.6	44.5	25	2008
1EP52440	185	H	7.5	11.9	11.8	18.7	46	25	2008
1EP52441	185	H	5.4	9.9	11.7	18.6	45	25	2008
1EP52442	185	H	5.7	10.8	10.6	18.3	42.5	25	2008
1EP52443	185	H	6.6	12.4	12.2	18.7	44.5	25	2008
1EP52444	185	H	6	10.7	11.6	19.4	43	25	2008
1EP52445	185	H	6.8	11.4	11.7	19	46	25	2008
1EP52446	185	H	7	12	11.9	18.5	44	25	2008
1EP52460	V53	H	6.2	10.7	13.2	19	44	27	2008
1EP52461	V53	H	5.7	10.4	13.2	19.5	44	27	2008
1EP52462	V53	H	5.8	10.4	13.7	19.3	43	27	2008
1EP52463	V53	H	5.3	9.8	12.4	17.9	44.5	27	2008
1EP52464	V53	H	6	10.7	11.6	18.3	44	27	2008
1EP52465	V53	H	6.1	10.4	13.1	19.5	43	27	2008
1EP52466	V53	H	5.7	10.5	12.7	18.7	43.5	27	2008
1EP52467	V53	H	5.5	10	12.8	18.8	42.5	27	2008
1EP51827	V53	H	3.1	NA	11.5	18.1	36	27	2008
1EP52119	279	H	5.6	10.9	11.2	18.4	41	26	2008
1EP52120	279	H	5.8	10.4	10.8	17.9	41	26	2008
1EP52121	279	H	5.2	9.5	10.4	17.7	38.5	26	2008
1EP52122	279	H	6.2	10.8	11.8	19.1	43	26	2008
1EP52123	279	H	6.3	10.7	11.7	18.6	43.5	26	2008
1EP52124	279	H	5.9	10.4	10.8	17.8	42.5	26	2008
1EP52125	279	H	5.9	8.9	10.9	17.5	41	26	2008
1EP52126	279	H	4.9	9.4	10	17.8	39	26	2008
